invoice_and_item_number,date,store_name,city,county,category_name,vendor_name,item_description,state_bottle_retail,bottles_sold,sale_dollars
INV-79753900002,2025-02-19,KARLS GROCERY / EDGEWOOD,EDGEWOOD,IOWA,CANADIAN WHISKIES,DIAGEO AMERICAS,CROWN ROYAL PEACH,26.24,2,52.48
INV-79704100029,2025-02-17,BIG G FOOD STORE,MARENGO,IOWA,IMPORTED BRANDIES,REMY COINTREAU USA INC,ST REMY XO,18.36,2,36.72
INV-79438900033,2025-02-07,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,CREAM LIQUEURS,E & J GALLO WINERY,TIPPY COW ORANGE CREAM,15.0,2,30.0
INV-79863500001,2025-02-21,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET TOASTED CARAMEL,9.0,12,108.0
INV-79901500005,2025-02-24,PRIMESTAR / MARENGO,MARENGO,IOWA,AMERICAN DRY GINS,PERNOD RICARD USA,SEAGRAMS EXTRA DRY GIN,11.99,12,143.88
INV-79258800008,2025-02-03,CASEY'S GENERAL STORE # 2774/AMANA,AMANA,IOWA,AMERICAN VODKAS,LUXCO INC,HAWKEYE VODKA PET,5.25,12,63.0
INV-79900500007,2025-02-24,WILTON EXPRESS,WILTON,IOWA,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,FIREBALL CINNAMON WHISKEY,8.0,24,192.0
INV-79107800004,2025-01-28,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,STRAIGHT BOURBON WHISKIES,JIM BEAM BRANDS,JIM BEAM,5.45,48,261.6
INV-79438900040,2025-02-07,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,MIXTO TEQUILA,PROXIMO,JOSE CUERVO ESPECIAL REPOSADO,5.45,48,261.6
INV-79795700007,2025-02-19,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,IMPORTED VODKAS,PERNOD RICARD USA,ABSOLUT SWEDISH VODKA 80PRF,26.99,6,161.94
INV-78381800001,2025-01-07,KARLS GROCERY / EDGEWOOD,EDGEWOOD,IOWA,CANADIAN WHISKIES,HEAVEN HILL BRANDS,BLACK VELVET TOASTED CARAMEL,17.25,12,207.0
INV-79068000021,2025-01-27,BIG G FOOD STORE,MARENGO,IOWA,COCKTAILS/RTD,SAZERAC COMPANY  INC,CHI-CHI'S WHITE RUSSIAN,9.75,12,117.0
INV-78786000011,2025-01-20,BIG G FOOD STORE,MARENGO,IOWA,TEMPORARY & SPECIALTY PACKAGES,BROWN FORMAN CORP.,WOODFORD RESERVE BATCH PROOF,116.7,1,116.7
INV-78664800028,2025-01-15,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,STRAIGHT BOURBON WHISKIES,LUXCO INC,PENELOPE HAVANA RUM MAPLE DOUBLE CASK FINISH,60.0,1,60.0
INV-78196800007,2025-01-02,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,STRAIGHT BOURBON WHISKIES,CAMPARI AMERICA,RUSSELLS RESERVE 10YR,33.75,2,67.5
INV-79068000029,2025-01-27,BIG G FOOD STORE,MARENGO,IOWA,CREAM LIQUEURS,PIEDMONT DISTILLERS INC,MIDNIGHT MOON PEANUT BUTTER CUP MOONSHAKE,17.25,2,34.5
INV-79795700004,2025-02-19,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,STRAIGHT BOURBON WHISKIES,JIM BEAM BRANDS,JIM BEAM,17.25,3,51.75
INV-79114900018,2025-01-28,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,AMERICAN VODKAS,SAZERAC COMPANY  INC,SVEDKA 80PRF,12.0,3,36.0
INV-78390200037,2025-01-07,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,100% AGAVE TEQUILA,DIAGEO AMERICAS,DON JULIO BLANCO,46.49,4,185.96
INV-78832500004,2025-01-21,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,AMERICAN DRY GINS,PERNOD RICARD USA,SEAGRAMS EXTRA DRY GIN,1.46,48,70.08
INV-79655900018,2025-02-14,WORLD LIQUOR & TOBACCO + VAPE,FORT DODGE,IOWA,AMERICAN VODKAS,DIAGEO AMERICAS,SMIRNOFF 80PRF PET,12.38,12,148.56
INV-79485800016,2025-02-10,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,AMERICAN VODKAS,SAZERAC COMPANY  INC,SKOL VODKA,10.68,6,64.08
INV-78786000033,2025-01-20,BIG G FOOD STORE,MARENGO,IOWA,BLENDED WHISKIES,DV SPIRITS LLC,DIRTY MONKEY,19.5,1,19.5
INV-79107800025,2025-01-28,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,100% AGAVE TEQUILA,WILLIAM GRANT & SONS INC,MILAGRO REPOSADO,26.25,6,157.5
INV-79901400002,2025-02-24,BIG G FOOD STORE,MARENGO,IOWA,CANADIAN WHISKIES,DIAGEO AMERICAS,CROWN ROYAL,26.24,12,314.88
INV-78557900009,2025-01-13,CASEY'S GENERAL STORE #2769 / WILLIAMSBURG,WILLIAMSBURG,IOWA,AMERICAN VODKAS,MCCORMICK DISTILLING CO.,MCCORMICK 80PRF VODKA PET,2.76,24,66.24
INV-79725700007,2025-02-18,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,AMERICAN BRANDIES,E & J GALLO WINERY,E & J VSOP,10.86,12,130.32
INV-79344100015,2025-02-05,CASEY'S GENERAL STORE #2488 / N ENGLISH,NORTH ENGLISH,IOWA,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,FIREBALL CINNAMON WHISKEY PET,24.0,24,576.0
INV-78196800006,2025-01-02,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,TEMPORARY & SPECIALTY PACKAGES,SAZERAC COMPANY  INC,STAGG BOURBON,45.0,1,45.0
INV-78786000029,2025-01-20,BIG G FOOD STORE,MARENGO,IOWA,TEMPORARY & SPECIALTY PACKAGES,WILLIAM GRANT & SONS INC,HENDRICKS MIDSUMMER SOLSTICE,33.75,1,33.0
INV-79074700001,2025-01-27,CASEY'S GENERAL STORE #2769 / WILLIAMSBURG,WILLIAMSBURG,IOWA,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,FIREBALL CINNAMON WHISKEY 100ML CARRIER,9.0,8,72.0
INV-79068000036,2025-01-27,BIG G FOOD STORE,MARENGO,IOWA,TENNESSEE WHISKIES,OLE SMOKY DISTILLERY LLC,OLE SMOKY COOKIES AND CREAM,16.5,2,33.0
INV-79795700005,2025-02-19,FREEMAN FOODS OF NORTH ENGLISH,NORTH ENGLISH,IOWA,STRAIGHT BOURBON WHISKIES,SAZERAC COMPANY  INC,BENCHMARK FULL PROOF,17.25,3,51.75
INV-78390200007,2025-01-07,KUM & GO #1443 / WILLIAMSBURG,WILLIAMSBURG,IOWA,STRAIGHT BOURBON WHISKIES,JIM BEAM BRANDS,JIM BEAM,17.25,4,69.0
INV-79900500008,2025-02-24,WILTON EXPRESS,WILTON,IOWA,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,FIREBALL CINNAMON WHISKEY,1.5,48,72.0
INV-78334300007,2025-01-06,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,BOTTLED IN BOND BOURBON,HEAVEN HILL BRANDS,EVAN WILLIAMS BOTTLED IN BOND,16.5,12,198.0
INV-78786200013,2025-01-20,CASEY'S GENERAL STORE # 2774/AMANA,AMANA,IOWA,STRAIGHT BOURBON WHISKIES,JIM BEAM BRANDS,MAKERS MARK,27.0,12,324.0
INV-78334400015,2025-01-06,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,AMERICAN FLAVORED VODKA,HEAVEN HILL BRANDS,BURNETTS RASPBERRY,7.5,12,90.0
INV-78832500005,2025-01-21,ALI'S CORNER / WATERLOO,WATERLOO,IOWA,AMERICAN DRY GINS,PERNOD RICARD USA,SEAGRAMS EXTRA DRY GIN,2.99,48,143.52
INV-79074800017,2025-01-27,BROTHERS MARKET / WILLIAMSBURG,WILLIAMSBURG,IOWA,COCKTAILS/RTD,PROXIMO,JOSE CUERVO GOLDEN MARGARITA,16.56,6,99.36
INV-79919600020,2025-02-24,CASEY'S GENERAL STORE # 2528/ WILLIAMSBURG,WILLIAMSBURG,IOWA,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,FIREBALL CINNAMON WHISKEY PET,24.0,6,144.0
